时间,价格,数量,买卖方向
9:15:00,9.33,3,2S
9:15:00,9.37,4,2S
9:15:00,9.28,5,2S
9:15:00,9.38,5,2S
9:15:00,8.95,5,2B
9:15:00,9.6,10,2S
9:15:00,10.1,10,2S
9:15:00,9.1,20,2B
9:15:00,9.07,37,2B
9:15:00,8.9,39,2B
9:15:00,8.68,44,2B
9:15:00,8.41,52,2B
9:15:00,9.46,55,2S
9:15:00,9.81,68,2S
9:15:00,10.12,35,2S
9:15:00,9.79,3,2S
9:15:00,9.02,5,2B
9:15:00,9.29,4,2S
9:15:00,9.23,22,2S
9:15:00,9.24,10,2S
9:15:00,9.25,10,2S
9:15:00,9.29,3,2S
9:15:00,9.38,2,2B
9:15:00,9.8,10,2S
9:15:00,9.27,20,2S
9:15:00,8.74,25,2B
9:15:00,8.64,25,2B
9:15:00,9.25,20,2S
9:15:00,9,1,2B
9:15:00,9.2,10,2B
9:15:00,9.09,20,2B
9:15:00,9.99,100,2S
9:15:00,9.99,100,2S
9:15:00,9.12,31,2B
9:15:00,9.19,1,2B
9:15:00,9.35,5,2S
9:15:00,8.95,5,2B
9:15:00,9.47,5,2S
9:15:00,9.3,200,2S
9:15:00,9,300,2B
9:15:00,10.12,25,2S
9:15:00,10.07,22,2S
9:15:00,10.02,20,2S
9:15:00,9.97,18,2S
9:15:00,9.92,15,2S
9:15:00,9.87,12,2S
9:15:00,9.82,10,2S
9:15:00,9.76,7,2S
9:15:00,9.69,6,2S
9:15:00,9.29,50,2S
9:15:00,9.36,50,2S
9:15:00,9.42,15,2S
9:15:00,9.39,10,2S
9:15:00,9.25,28,2S
9:15:00,9.24,28,2S
9:15:00,9.23,28,2S
9:15:00,9.22,28,2S
9:15:00,9.26,27,2S
9:15:00,9.28,27,2S
9:15:00,9.29,27,2S
9:15:00,9.25,27,2S
9:15:00,9.1,6,2B
9:15:00,10.12,15,2S
9:15:00,9.48,5,2S
9:15:00,9.57,5,2S
9:15:00,9.66,5,2S
9:15:00,9.75,5,2S
9:15:00,9.84,5,2S
9:15:00,9.93,5,2S
9:15:00,9.5,839,2S
9:15:00,10.1,10,2S
9:15:00,9.7,7.2,2S
9:15:00,9.23,2,2S
9:15:00,9.32,10,2S
9:15:00,9.27,10,2S
9:15:00,9.3,10,2S
9:15:00,9.4,10,2S
9:15:00,9.5,10,2S
9:15:00,9.58,24,2S
9:15:00,9.59,77,2S
9:15:00,9.79,156,2S
9:15:00,9.59,130,2S
9:15:00,9.79,130.4,2S
9:15:00,9.01,10,2B
9:15:00,9.51,1,2S
9:15:00,9.26,100,2S
9:15:00,9.5,200,2S
9:15:00,9.56,100,2S
9:15:00,9.28,27,2S
9:15:00,10.12,18,2S
9:15:00,9.3,10,2S
9:15:00,9.48,5,2S
9:15:00,9.15,20,2B
9:15:00,9.69,192,2S
9:15:00,9.79,44,2S
9:15:00,9.3,17,2S
9:15:00,8.8,17,2B
9:15:00,9.14,20,2B
9:15:00,9.25,6,2S
9:15:00,9.28,6,2S
9:15:00,9.31,6,2S
9:15:00,9.89,239,2S
9:15:00,9.13,30,2B
9:15:00,9.12,50,2B
9:15:00,9.36,2,2S
9:15:00,9.69,206,2S
9:15:00,9.56,2,2S
9:15:00,9.76,2,2S
9:15:00,9.96,3,2S
9:15:00,10.09,60,2S
9:15:00,9.33,2,2S
9:15:00,9.47,18,2S
9:15:00,9.47,18,2S
9:15:00,9.89,27,2S
9:15:00,9.3,13,2S
9:15:00,9.33,10,2S
9:15:00,9.11,30,2B
9:15:00,9.06,30,2B
9:15:00,9,40,2B
9:15:00,10.07,1,2S
9:15:00,9.32,88,2S
9:15:00,8.54,2,2B
9:15:00,9.25,20,2S
9:15:00,9.5,20,2S
9:15:00,8.75,20,2B
9:15:00,9.3,50,2S
9:15:00,9.6,50,2S
9:15:00,9.27,130,2S
9:15:00,9.32,130,2S
9:15:00,9.37,130,2S
9:15:00,9.42,130,2S
9:15:00,9.47,130,2S
9:15:00,9.52,130,2S
9:15:00,9.57,130,2S
9:15:00,9.62,130,2S
9:15:00,9.67,130,2S
9:15:00,9.31,2,2S
9:15:00,9.52,10,2S
9:15:00,9.6,10,2S
9:15:00,10.12,18,2S
9:15:00,10.12,18,2S
9:15:00,10.12,18,2S
9:15:00,9.4,38,2S
9:15:00,9.36,25,2S
9:15:00,9.3,5,2S
9:15:00,9.4,5,2S
9:15:00,9.5,5,2S
9:15:00,9.2,16,2B
9:15:00,9.2,42,2B
9:15:00,9.45,30,2S
9:15:00,9.39,30,2S
9:15:00,9.59,41,2S
9:15:00,9.69,123,2S
9:15:00,9.49,24,2S
9:15:00,9.59,24,2S
9:15:00,9.29,25,2S
9:15:00,9.39,21,2S
9:15:00,9.08,22,2B
9:15:00,9.29,20,2S
9:15:00,9.99,6,2S
9:15:00,9.87,6,2S
9:15:00,9.5,3,2S
9:15:00,9.79,10,2S
9:15:00,9.25,11,2S
9:15:00,9.35,11,2S
9:15:00,9.45,11,2S
9:15:00,9.55,11,2S
9:15:00,9.65,11,2S
9:15:00,9.35,5,2S
9:15:00,9.75,11,2S
9:15:00,9.85,11,2S
9:15:00,9.95,11,2S
9:15:00,10.05,10,2S
9:15:00,10.12,10,2S
9:15:00,9,5,2B
9:15:00,9.3,10,2S
9:15:00,9.44,5,2S
9:15:00,8.51,5,2B
9:15:00,9.35,5,2S
9:15:00,9,5,2B
9:15:00,9.35,5,2S
9:15:00,9.32,5,2S
9:15:00,9.92,4,2S
9:15:00,9.41,18,2S
9:15:00,9.01,19,2B
9:15:00,9.3,12,2S
9:15:00,9.39,1,2S
9:15:00,9.3,50,2S
9:15:00,9.1,20,2B
9:15:00,9.45,50,2S
9:15:00,9.6,50,2S
9:15:00,9.3,5.2,2S
9:15:00,9.4,5,2S
9:15:00,9.25,10,2S
9:15:00,9.27,10,2S
9:15:00,9.29,10,2S
9:15:00,9.31,10,2S
9:15:00,9.33,10,2S
9:15:00,9.24,10,2S
9:15:00,9.26,10,2S
9:15:00,9.28,10,2S
9:15:00,9.3,10,2S
9:15:00,9.32,10,2S
9:15:00,9.34,10,2S
9:15:00,9.36,10,2S
9:15:00,9,50,2B
9:15:00,9.25,10,2S
9:15:00,9.27,10,2S
9:15:00,9.29,10,2S
9:15:00,9.31,10,2S
9:15:00,9.33,10,2S
9:15:00,9.35,10,2S
9:15:00,9.37,10,2S
9:15:00,9.39,10,2S
9:15:00,9.3,6,2S
9:15:00,10,1,2S
9:15:00,9.3,4,2S
9:15:00,9.25,20,2S
